"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2391,494.35,5.3162,-0.01774,0,8.1036e+05,1,0,0,0,0.05
0.23913,494.35,5.3168,-0.017742,0,8.1036e+05,1,0.0013557,0.0013557,0,0.05
0.23916,494.34,5.3174,-0.017744,0,8.1036e+05,1,0.0027114,0.0027114,0,0.05
0.23919,494.34,5.318,-0.017746,0,8.1036e+05,1,0.0040671,0.0040671,0,0.05
0.23921,494.34,5.3186,-0.017748,0,8.1036e+05,1,0.0054228,0.0054228,0,0.05
0.23924,494.34,5.3192,-0.01775,0,8.1036e+05,1,0.0067785,0.0067785,0,0.05
0.23927,494.34,5.3199,-0.017753,0,8.1036e+05,1,0.0081342,0.0081342,0,0.05
0.23935,494.33,5.3215,-0.017764,0,8.1034e+05,1,0.0094899,0.0094899,0,0.05
0.23942,494.33,5.3231,-0.017775,0,8.1033e+05,1,0.010846,0.010846,0,0.05
0.23949,494.33,5.3247,-0.017786,0,8.1031e+05,1,0.012201,0.012201,0,0.05
0.23956,494.32,5.3263,-0.017797,0,8.103e+05,1,0.013557,0.013557,0,0.05
0.23964,494.32,5.3279,-0.017808,0,8.1028e+05,1,0.014913,0.014913,0,0.05
0.23971,494.32,5.3295,-0.017822,0,8.1027e+05,1,0.016268,0.016268,0,0.05
0.2398,494.31,5.3315,-0.017849,0,8.1024e+05,1,0.017624,0.017624,0,0.05
0.23989,494.31,5.3335,-0.017876,0,8.1022e+05,1,0.01898,0.01898,0,0.05
0.23998,494.3,5.3355,-0.017903,0,8.1019e+05,1,0.020335,0.020335,0,0.05
0.24007,494.3,5.3375,-0.01793,0,8.1017e+05,1,0.021691,0.021691,0,0.05
0.24016,494.3,5.3395,-0.017957,0,8.1014e+05,1,0.023047,0.023047,0,0.05
0.24025,494.29,5.3414,-0.017989,0,8.1012e+05,1,0.024403,0.024403,0,0.05
0.24033,494.29,5.3432,-0.018033,0,8.1009e+05,1,0.025758,0.025758,0,0.05
0.24042,494.29,5.345,-0.018077,0,8.1007e+05,1,0.027114,0.027114,0,0.05
0.2405,494.28,5.3468,-0.018121,0,8.1005e+05,1,0.02847,0.02847,0,0.05
0.24058,494.28,5.3486,-0.018165,0,8.1002e+05,1,0.029825,0.029825,0,0.05
0.24066,494.27,5.3504,-0.018209,0,8.1e+05,1,0.031181,0.031181,0,0.05
0.24074,494.27,5.3521,-0.018258,0,8.0998e+05,1,0.032537,0.032537,0,0.05
0.24081,494.27,5.3537,-0.018316,0,8.0996e+05,1,0.033893,0.033893,0,0.05
0.24088,494.26,5.3553,-0.018374,0,8.0994e+05,1,0.035248,0.035248,0,0.05
0.24096,494.26,5.3569,-0.018432,0,8.0992e+05,1,0.036604,0.036604,0,0.05
0.24103,494.26,5.3585,-0.01849,0,8.0989e+05,1,0.03796,0.03796,0,0.05
0.2411,494.25,5.3601,-0.018548,0,8.0987e+05,1,0.039315,0.039315,0,0.05
0.24117,494.25,5.3616,-0.018613,0,8.0986e+05,1,0.040671,0.040671,0,0.05
0.24124,494.25,5.3632,-0.018684,0,8.0984e+05,1,0.042027,0.042027,0,0.05
0.24131,494.24,5.3647,-0.018755,0,8.0982e+05,1,0.043382,0.043382,0,0.05
0.24138,494.24,5.3663,-0.018826,0,8.098e+05,1,0.044738,0.044738,0,0.05
0.24146,494.24,5.3679,-0.018897,0,8.0978e+05,1,0.046094,0.046094,0,0.05
0.24153,494.23,5.3694,-0.018968,0,8.0976e+05,1,0.047449,0.047449,0,0.05
0.2416,494.23,5.371,-0.019047,0,8.0974e+05,1,0.048805,0.048805,0,0.05
0.24167,494.23,5.3726,-0.019131,0,8.0972e+05,1,0.050161,0.050161,0,0.05
0.24175,494.22,5.3742,-0.019215,0,8.097e+05,1,0.051517,0.051517,0,0.05
0.24182,494.22,5.3759,-0.0193,0,8.0968e+05,1,0.052872,0.052872,0,0.05
0.24189,494.22,5.3775,-0.019384,0,8.0966e+05,1,0.054228,0.054228,0,0.05
0.24197,494.21,5.3791,-0.019468,0,8.0964e+05,1,0.055584,0.055584,0,0.05
0.24204,494.21,5.3808,-0.019562,0,8.0962e+05,1,0.056939,0.056939,0,0.05
0.24212,494.21,5.3825,-0.019659,0,8.096e+05,1,0.058295,0.058295,0,0.05
0.2422,494.2,5.3841,-0.019757,0,8.0958e+05,1,0.059651,0.059651,0,0.05
0.24227,494.2,5.3858,-0.019855,0,8.0956e+05,1,0.061007,0.061007,0,0.05
0.24235,494.19,5.3875,-0.019953,0,8.0954e+05,1,0.062362,0.062362,0,0.05
0.24243,494.19,5.3892,-0.020051,0,8.0952e+05,1,0.063718,0.063718,0,0.05
0.24251,494.19,5.3909,-0.02016,0,8.095e+05,1,0.065074,0.065074,0,0.05
0.24259,494.18,5.3927,-0.020272,0,8.0948e+05,1,0.066429,0.066429,0,0.05
0.24267,494.18,5.3944,-0.020383,0,8.0946e+05,1,0.067785,0.067785,0,0.05
0.24275,494.18,5.3962,-0.020495,0,8.0944e+05,1,0.069141,0.069141,0,0.05
0.24283,494.17,5.398,-0.020607,0,8.0942e+05,1,0.070496,0.070496,0,0.05
0.24291,494.17,5.3997,-0.020719,0,8.0939e+05,1,0.071852,0.071852,0,0.05
