"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23902,494.35,5.3143,-0.017698,0,8.1038e+05,1,0,0,0,0.05
0.23905,494.35,5.3149,-0.0177,0,8.1038e+05,1,0.0013557,0.0013557,0,0.05
0.23907,494.35,5.3155,-0.017702,0,8.1038e+05,1,0.0027114,0.0027114,0,0.05
0.2391,494.35,5.3162,-0.017704,0,8.1038e+05,1,0.0040671,0.0040671,0,0.05
0.23913,494.34,5.3168,-0.017706,0,8.1038e+05,1,0.0054228,0.0054228,0,0.05
0.23916,494.34,5.3174,-0.017708,0,8.1038e+05,1,0.0067785,0.0067785,0,0.05
0.23921,494.34,5.3185,-0.017714,0,8.1037e+05,1,0.0081342,0.0081342,0,0.05
0.23928,494.34,5.3201,-0.017724,0,8.1036e+05,1,0.0094899,0.0094899,0,0.05
0.23936,494.33,5.3217,-0.017735,0,8.1034e+05,1,0.010846,0.010846,0,0.05
0.23943,494.33,5.3233,-0.017745,0,8.1033e+05,1,0.012201,0.012201,0,0.05
0.2395,494.33,5.325,-0.017755,0,8.1031e+05,1,0.013557,0.013557,0,0.05
0.23958,494.32,5.3266,-0.017766,0,8.103e+05,1,0.014913,0.014913,0,0.05
0.23967,494.32,5.3286,-0.017791,0,8.1027e+05,1,0.016268,0.016268,0,0.05
0.23976,494.31,5.3305,-0.017816,0,8.1025e+05,1,0.017624,0.017624,0,0.05
0.23985,494.31,5.3325,-0.017841,0,8.1022e+05,1,0.01898,0.01898,0,0.05
0.23994,494.31,5.3345,-0.017866,0,8.102e+05,1,0.020335,0.020335,0,0.05
0.24003,494.3,5.3364,-0.017891,0,8.1017e+05,1,0.021691,0.021691,0,0.05
0.24011,494.3,5.3383,-0.017926,0,8.1015e+05,1,0.023047,0.023047,0,0.05
0.24019,494.3,5.3401,-0.017966,0,8.1013e+05,1,0.024403,0.024403,0,0.05
0.24027,494.29,5.3419,-0.018007,0,8.101e+05,1,0.025758,0.025758,0,0.05
0.24035,494.29,5.3437,-0.018047,0,8.1008e+05,1,0.027114,0.027114,0,0.05
0.24044,494.29,5.3454,-0.018088,0,8.1005e+05,1,0.02847,0.02847,0,0.05
0.24052,494.28,5.3472,-0.01813,0,8.1003e+05,1,0.029825,0.029825,0,0.05
0.24059,494.28,5.3488,-0.018184,0,8.1001e+05,1,0.031181,0.031181,0,0.05
0.24066,494.27,5.3503,-0.018237,0,8.0999e+05,1,0.032537,0.032537,0,0.05
0.24073,494.27,5.3519,-0.018291,0,8.0997e+05,1,0.033893,0.033893,0,0.05
0.2408,494.27,5.3535,-0.018344,0,8.0995e+05,1,0.035248,0.035248,0,0.05
0.24087,494.27,5.3551,-0.018398,0,8.0993e+05,1,0.036604,0.036604,0,0.05
0.24094,494.26,5.3566,-0.018459,0,8.0991e+05,1,0.03796,0.03796,0,0.05
0.24101,494.26,5.3582,-0.018525,0,8.0989e+05,1,0.039315,0.039315,0,0.05
0.24108,494.25,5.3597,-0.018591,0,8.0987e+05,1,0.040671,0.040671,0,0.05
0.24115,494.25,5.3612,-0.018656,0,8.0986e+05,1,0.042027,0.042027,0,0.05
0.24123,494.25,5.3628,-0.018722,0,8.0984e+05,1,0.043382,0.043382,0,0.05
0.2413,494.24,5.3643,-0.01879,0,8.0982e+05,1,0.044738,0.044738,0,0.05
0.24137,494.24,5.3659,-0.018867,0,8.098e+05,1,0.046094,0.046094,0,0.05
0.24144,494.24,5.3675,-0.018945,0,8.0978e+05,1,0.047449,0.047449,0,0.05
0.24151,494.23,5.3691,-0.019023,0,8.0976e+05,1,0.048805,0.048805,0,0.05
0.24159,494.23,5.3707,-0.0191,0,8.0974e+05,1,0.050161,0.050161,0,0.05
0.24166,494.23,5.3723,-0.019178,0,8.0972e+05,1,0.051517,0.051517,0,0.05
