# x, M, P, T, rho
0.0, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0013556999999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0027113999999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0040671, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.005422799999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.006778499999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0081342, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.009489899999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.010845599999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.012201299999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.013556999999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.014912699999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0162684, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.017624099999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.018979799999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.020335499999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.021691199999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0230469, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.024402599999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.025758299999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.027113999999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.028469699999999997, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.029825399999999995, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.031181099999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0325368, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0338925, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.03524819999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.036603899999999995, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.037959599999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0393153, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.04067099999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.04202669999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.043382399999999995, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.044738099999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0460938, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.04744949999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.04880519999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.050160899999999994, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.051516599999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.05287229999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.05422799999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.05558369999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.056939399999999994, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.058295099999999996, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.05965079999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.06100649999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.06236219999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0637179, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0650736, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0664293, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.067785, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.06914069999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.07049639999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.07185209999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.07320779999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.07456349999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.07591919999999999, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0772749, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0786306, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.0799863, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
0.08134199999999998, 0.23899530318134987, 809938.0657461835, 494.35263855659724, 5.708645271954111
