"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2407,494.27,5.3512,-0.018297,0,8.0994e+05,1,0,0,0,0.05
0.24072,494.27,5.3517,-0.0183,0,8.0994e+05,1,0.0013557,0.0013557,0,0.05
0.24075,494.27,5.3523,-0.018304,0,8.0994e+05,1,0.0027114,0.0027114,0,0.05
0.24077,494.27,5.3528,-0.018307,0,8.0994e+05,1,0.0040671,0.0040671,0,0.05
0.24079,494.27,5.3533,-0.01831,0,8.0994e+05,1,0.0054228,0.0054228,0,0.05
0.24082,494.26,5.3538,-0.018313,0,8.0994e+05,1,0.0067785,0.0067785,0,0.05
0.24084,494.26,5.3544,-0.018316,0,8.0994e+05,1,0.0081342,0.0081342,0,0.05
0.24087,494.26,5.3549,-0.018319,0,8.0994e+05,1,0.0094899,0.0094899,0,0.05
0.24089,494.26,5.3554,-0.018322,0,8.0994e+05,1,0.010846,0.010846,0,0.05
0.24091,494.26,5.3559,-0.018325,0,8.0994e+05,1,0.012201,0.012201,0,0.05
0.24094,494.25,5.3565,-0.018328,0,8.0994e+05,1,0.013557,0.013557,0,0.05
0.24098,494.25,5.3575,-0.018338,0,8.0993e+05,1,0.014913,0.014913,0,0.05
0.24105,494.25,5.359,-0.018355,0,8.0992e+05,1,0.016268,0.016268,0,0.05
0.24112,494.24,5.3605,-0.018373,0,8.0991e+05,1,0.017624,0.017624,0,0.05
0.24119,494.24,5.3621,-0.018391,0,8.099e+05,1,0.01898,0.01898,0,0.05
0.24126,494.24,5.3636,-0.018408,0,8.0988e+05,1,0.020335,0.020335,0,0.05
0.24134,494.23,5.3652,-0.018426,0,8.0987e+05,1,0.021691,0.021691,0,0.05
0.24141,494.23,5.3667,-0.018444,0,8.0986e+05,1,0.023047,0.023047,0,0.05
0.24148,494.23,5.3683,-0.018461,0,8.0984e+05,1,0.024403,0.024403,0,0.05
0.24155,494.22,5.3698,-0.018479,0,8.0983e+05,1,0.025758,0.025758,0,0.05
0.24162,494.22,5.3713,-0.018496,0,8.0982e+05,1,0.027114,0.027114,0,0.05
0.24169,494.22,5.3729,-0.018514,0,8.098e+05,1,0.02847,0.02847,0,0.05
0.24178,494.21,5.375,-0.018559,0,8.0978e+05,1,0.029825,0.029825,0,0.05
0.24188,494.21,5.3771,-0.018607,0,8.0976e+05,1,0.031181,0.031181,0,0.05
0.24197,494.21,5.3792,-0.018654,0,8.0973e+05,1,0.032537,0.032537,0,0.05
0.24207,494.2,5.3813,-0.018702,0,8.0971e+05,1,0.033893,0.033893,0,0.05
0.24217,494.2,5.3834,-0.018749,0,8.0968e+05,1,0.035248,0.035248,0,0.05
0.24226,494.19,5.3856,-0.018797,0,8.0966e+05,1,0.036604,0.036604,0,0.05
0.24236,494.19,5.3877,-0.018844,0,8.0963e+05,1,0.03796,0.03796,0,0.05
0.24246,494.19,5.3898,-0.018892,0,8.096e+05,1,0.039315,0.039315,0,0.05
0.24255,494.18,5.3919,-0.018939,0,8.0958e+05,1,0.040671,0.040671,0,0.05
0.24265,494.18,5.3941,-0.018987,0,8.0955e+05,1,0.042027,0.042027,0,0.05
0.24274,494.17,5.3961,-0.019047,0,8.0953e+05,1,0.043382,0.043382,0,0.05
0.24283,494.17,5.3982,-0.019128,0,8.095e+05,1,0.044738,0.044738,0,0.05
0.24293,494.17,5.4002,-0.019209,0,8.0947e+05,1,0.046094,0.046094,0,0.05
0.24302,494.16,5.4022,-0.01929,0,8.0945e+05,1,0.047449,0.047449,0,0.05
0.24311,494.16,5.4042,-0.019371,0,8.0942e+05,1,0.048805,0.048805,0,0.05
0.2432,494.15,5.4063,-0.019452,0,8.0939e+05,1,0.050161,0.050161,0,0.05
0.2433,494.15,5.4083,-0.019533,0,8.0936e+05,1,0.051517,0.051517,0,0.05
0.24339,494.14,5.4103,-0.019614,0,8.0934e+05,1,0.052872,0.052872,0,0.05
0.24348,494.14,5.4123,-0.019695,0,8.0931e+05,1,0.054228,0.054228,0,0.05
0.24357,494.14,5.4144,-0.019776,0,8.0928e+05,1,0.055584,0.055584,0,0.05
0.24366,494.13,5.4164,-0.019856,0,8.0925e+05,1,0.056939,0.056939,0,0.05
0.24375,494.13,5.4182,-0.019961,0,8.0923e+05,1,0.058295,0.058295,0,0.05
0.24383,494.12,5.42,-0.020069,0,8.0921e+05,1,0.059651,0.059651,0,0.05
0.24391,494.12,5.4218,-0.020177,0,8.0919e+05,1,0.061007,0.061007,0,0.05
0.24399,494.12,5.4236,-0.020286,0,8.0916e+05,1,0.062362,0.062362,0,0.05
0.24407,494.11,5.4253,-0.020394,0,8.0914e+05,1,0.063718,0.063718,0,0.05
0.24415,494.11,5.4271,-0.020503,0,8.0912e+05,1,0.065074,0.065074,0,0.05
0.24423,494.11,5.4289,-0.020611,0,8.0909e+05,1,0.066429,0.066429,0,0.05
0.24432,494.1,5.4307,-0.020719,0,8.0907e+05,1,0.067785,0.067785,0,0.05
0.2444,494.1,5.4325,-0.020828,0,8.0905e+05,1,0.069141,0.069141,0,0.05
0.24448,494.09,5.4343,-0.020936,0,8.0903e+05,1,0.070496,0.070496,0,0.05
0.24456,494.09,5.436,-0.021052,0,8.09e+05,1,0.071852,0.071852,0,0.05
0.24464,494.09,5.4378,-0.021186,0,8.0898e+05,1,0.073208,0.073208,0,0.05
0.24472,494.08,5.4396,-0.021319,0,8.0896e+05,1,0.074564,0.074564,0,0.05
0.2448,494.08,5.4414,-0.021452,0,8.0894e+05,1,0.075919,0.075919,0,0.05
0.24488,494.07,5.4432,-0.021585,0,8.0892e+05,1,0.077275,0.077275,0,0.05
0.24497,494.07,5.445,-0.021718,0,8.089e+05,1,0.078631,0.078631,0,0.05
0.24505,494.07,5.4467,-0.021851,0,8.0887e+05,1,0.079986,0.079986,0,0.05
0.24513,494.06,5.4485,-0.021985,0,8.0885e+05,1,0.081342,0.081342,0,0.05
0.24521,494.06,5.4503,-0.022118,0,8.0883e+05,1,0.082698,0.082698,0,0.05
0.24529,494.05,5.4521,-0.022251,0,8.0881e+05,1,0.084053,0.084053,0,0.05
0.24537,494.05,5.4539,-0.022384,0,8.0879e+05,1,0.085409,0.085409,0,0.05
0.24546,494.05,5.4558,-0.022537,0,8.0877e+05,1,0.086765,0.086765,0,0.05
0.24555,494.04,5.4577,-0.022696,0,8.0874e+05,1,0.08812,0.08812,0,0.05
0.24564,494.04,5.4597,-0.022855,0,8.0872e+05,1,0.089476,0.089476,0,0.05
0.24572,494.03,5.4616,-0.023014,0,8.087e+05,1,0.090832,0.090832,0,0.05
0.24581,494.03,5.4636,-0.023172,0,8.0867e+05,1,0.092188,0.092188,0,0.05
0.2459,494.03,5.4655,-0.023331,0,8.0865e+05,1,0.093543,0.093543,0,0.05
0.24599,494.02,5.4674,-0.02349,0,8.0863e+05,1,0.094899,0.094899,0,0.05
0.24608,494.02,5.4694,-0.023649,0,8.086e+05,1,0.096255,0.096255,0,0.05
0.24617,494.01,5.4713,-0.023807,0,8.0858e+05,1,0.09761,0.09761,0,0.05
0.24625,494.01,5.4733,-0.023966,0,8.0856e+05,1,0.098966,0.098966,0,0.05
0.24635,494,5.4753,-0.024131,0,8.0853e+05,1,0.10032,0.10032,0,0.05
0.24644,494,5.4774,-0.024317,0,8.0851e+05,1,0.10168,0.10168,0,0.05
0.24654,493.99,5.4795,-0.024504,0,8.0848e+05,1,0.10303,0.10303,0,0.05
0.24664,493.99,5.4817,-0.02469,0,8.0846e+05,1,0.10439,0.10439,0,0.05
0.24673,493.99,5.4838,-0.024876,0,8.0843e+05,1,0.10574,0.10574,0,0.05
0.24683,493.98,5.4859,-0.025062,0,8.0841e+05,1,0.1071,0.1071,0,0.05
0.24693,493.98,5.4881,-0.025248,0,8.0838e+05,1,0.10846,0.10846,0,0.05
0.24703,493.97,5.4902,-0.025434,0,8.0835e+05,1,0.10981,0.10981,0,0.05
0.24712,493.97,5.4923,-0.02562,0,8.0833e+05,1,0.11117,0.11117,0,0.05
0.24722,493.96,5.4945,-0.025806,0,8.083e+05,1,0.11252,0.11252,0,0.05
0.24732,493.96,5.4966,-0.025992,0,8.0828e+05,1,0.11388,0.11388,0,0.05
0.24742,493.95,5.4989,-0.026198,0,8.0825e+05,1,0.11523,0.11523,0,0.05
0.24753,493.95,5.5012,-0.026413,0,8.0822e+05,1,0.11659,0.11659,0,0.05
0.24763,493.94,5.5036,-0.026628,0,8.0819e+05,1,0.11795,0.11795,0,0.05
0.24774,493.94,5.5059,-0.026843,0,8.0817e+05,1,0.1193,0.1193,0,0.05
0.24785,493.93,5.5082,-0.027058,0,8.0814e+05,1,0.12066,0.12066,0,0.05
0.24795,493.93,5.5106,-0.027273,0,8.0811e+05,1,0.12201,0.12201,0,0.05
0.24806,493.92,5.5129,-0.027488,0,8.0808e+05,1,0.12337,0.12337,0,0.05
0.24817,493.92,5.5152,-0.027703,0,8.0805e+05,1,0.12472,0.12472,0,0.05
0.24827,493.91,5.5176,-0.027918,0,8.0802e+05,1,0.12608,0.12608,0,0.05
0.24838,493.91,5.5199,-0.028133,0,8.08e+05,1,0.12744,0.12744,0,0.05
