"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.25191,0.19091,0.061396,0,493.73,5.5954,-0.15097,0,8.0697e+05
0.2531,0.2,0.061396,0,493.67,5.6211,-0.16198,-2.3026e-20,8.0666e+05
0.23926,0,0.08874,0,494.34,5.3189,-0.085349,0,8.1032e+05
0.23939,0.0090909,0.08874,0,494.33,5.3218,-0.085446,0,8.1032e+05
0.23975,0.018182,0.08874,0,494.31,5.3298,-0.085943,0,8.1024e+05
0.24021,0.027273,0.08874,0,494.3,5.3398,-0.087123,0,8.1012e+05
0.24063,0.036364,0.08874,0,494.28,5.349,-0.088983,0,8.1e+05
0.241,0.045455,0.08874,0,494.26,5.3572,-0.091406,0,8.0989e+05
0.24137,0.054545,0.08874,0,494.24,5.3652,-0.094346,0,8.098e+05
0.24176,0.063636,0.08874,0,494.22,5.3736,-0.097816,0,8.097e+05
0.24217,0.072727,0.08874,0,494.2,5.3825,-0.10184,0,8.0959e+05
0.2426,0.081818,0.08874,0,494.18,5.3919,-0.10644,0,8.0947e+05
0.24305,0.090909,0.08874,0,494.16,5.4018,-0.11162,0,8.0935e+05
0.24353,0.1,0.08874,0,494.14,5.4122,-0.1174,0,8.0922e+05
0.24404,0.10909,0.08874,0,494.11,5.4232,-0.12381,0,8.0909e+05
0.24458,0.11818,0.08874,0,494.09,5.4349,-0.13085,0,8.0895e+05
0.24515,0.12727,0.08874,0,494.06,5.4473,-0.13855,0,8.0879e+05
0.24577,0.13636,0.08874,0,494.03,5.4606,-0.14693,0,8.0863e+05
0.24642,0.14545,0.08874,0,494,5.4747,-0.156,0,8.0846e+05
0.24712,0.15455,0.08874,0,493.97,5.4898,-0.1658,0,8.0827e+05
0.24787,0.16364,0.08874,0,493.93,5.506,-0.17633,0,8.0807e+05
0.24868,0.17273,0.08874,0,493.89,5.5233,-0.18763,0,8.0785e+05
0.24954,0.18182,0.08874,0,493.85,5.5418,-0.19971,0,8.0762e+05
0.25045,0.19091,0.08874,0,493.8,5.5613,-0.2126,0,8.0737e+05
0.25155,0.2,0.08874,0,493.75,5.5847,-0.22842,-1.0661e-20,8.0708e+05
0.23926,0,0.11407,0,494.34,5.3186,-0.10308,0,8.1032e+05
0.23936,0.0090909,0.11407,0,494.33,5.3209,-0.1032,0,8.1032e+05
0.23965,0.018182,0.11407,0,494.32,5.3271,-0.10382,0,8.1026e+05
0.24001,0.027273,0.11407,0,494.31,5.335,-0.1053,0,8.1016e+05
0.24034,0.036364,0.11407,0,494.29,5.3423,-0.10762,0,8.1007e+05
0.24064,0.045455,0.11407,0,494.28,5.3487,-0.11064,0,8.0998e+05
0.24093,0.054545,0.11407,0,494.26,5.3551,-0.1143,0,8.0991e+05
0.24124,0.063636,0.11407,0,494.25,5.3618,-0.11863,0,8.0982e+05
0.24157,0.072727,0.11407,0,494.23,5.3689,-0.12365,0,8.0974e+05
0.24192,0.081818,0.11407,0,494.21,5.3765,-0.12939,0,8.0965e+05
