"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23941,494.33,5.3228,-0.017918,0,1.346e+05,1,0,0,0,0.05
0.23943,494.33,5.3234,-0.01792,0,1.346e+05,1,0.0013557,0.0013557,0,0.05
0.23946,494.33,5.324,-0.017923,0,1.346e+05,1,0.0027114,0.0027114,0,0.05
0.23948,494.33,5.3245,-0.017925,0,1.346e+05,1,0.0040671,0.0040671,0,0.05
0.23951,494.33,5.3251,-0.017928,0,1.346e+05,1,0.0054228,0.0054228,0,0.05
0.23954,494.32,5.3257,-0.01793,0,1.346e+05,1,0.0067785,0.0067785,0,0.05
0.23956,494.32,5.3262,-0.017933,0,1.346e+05,1,0.0081342,0.0081342,0,0.05
0.23959,494.32,5.3268,-0.017935,0,1.346e+05,1,0.0094899,0.0094899,0,0.05
0.23963,494.32,5.3276,-0.01794,0,1.346e+05,1,0.010846,0.010846,0,0.05
0.2397,494.31,5.3292,-0.017954,0,1.346e+05,1,0.012201,0.012201,0,0.05
0.23977,494.31,5.3307,-0.017968,0,1.3459e+05,1,0.013557,0.013557,0,0.05
0.23984,494.31,5.3323,-0.017981,0,1.3459e+05,1,0.014913,0.014913,0,0.05
0.23991,494.3,5.3339,-0.017995,0,1.3459e+05,1,0.016268,0.016268,0,0.05
0.23998,494.3,5.3354,-0.018009,0,1.3459e+05,1,0.017624,0.017624,0,0.05
0.24005,494.3,5.337,-0.018023,0,1.3459e+05,1,0.01898,0.01898,0,0.05
0.24012,494.29,5.3386,-0.018036,0,1.3458e+05,1,0.020335,0.020335,0,0.05
0.24021,494.29,5.3404,-0.01806,0,1.3458e+05,1,0.021691,0.021691,0,0.05
0.2403,494.29,5.3424,-0.018095,0,1.3458e+05,1,0.023047,0.023047,0,0.05
0.24039,494.28,5.3444,-0.018131,0,1.3457e+05,1,0.024403,0.024403,0,0.05
0.24048,494.28,5.3465,-0.018166,0,1.3457e+05,1,0.025758,0.025758,0,0.05
0.24058,494.28,5.3485,-0.018201,0,1.3456e+05,1,0.027114,0.027114,0,0.05
0.24067,494.27,5.3505,-0.018237,0,1.3456e+05,1,0.02847,0.02847,0,0.05
0.24076,494.27,5.3526,-0.018272,0,1.3456e+05,1,0.029825,0.029825,0,0.05
0.24085,494.26,5.3546,-0.018307,0,1.3455e+05,1,0.031181,0.031181,0,0.05
0.24094,494.26,5.3565,-0.018359,0,1.3455e+05,1,0.032537,0.032537,0,0.05
0.24103,494.26,5.3584,-0.018417,0,1.3454e+05,1,0.033893,0.033893,0,0.05
