"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23941,494.33,5.3228,-0.017916,0,1.4421e+05,1,0,0,0,0.05
0.23943,494.33,5.3234,-0.017919,0,1.4421e+05,1,0.0013557,0.0013557,0,0.05
0.23946,494.33,5.324,-0.017921,0,1.4421e+05,1,0.0027114,0.0027114,0,0.05
0.23948,494.33,5.3245,-0.017924,0,1.4421e+05,1,0.0040671,0.0040671,0,0.05
0.23951,494.33,5.3251,-0.017926,0,1.4421e+05,1,0.0054228,0.0054228,0,0.05
0.23954,494.32,5.3257,-0.017929,0,1.4421e+05,1,0.0067785,0.0067785,0,0.05
0.23956,494.32,5.3262,-0.017931,0,1.4421e+05,1,0.0081342,0.0081342,0,0.05
0.23959,494.32,5.3268,-0.017934,0,1.4421e+05,1,0.0094899,0.0094899,0,0.05
0.23962,494.32,5.3276,-0.017939,0,1.4421e+05,1,0.010846,0.010846,0,0.05
0.2397,494.32,5.3292,-0.017953,0,1.4421e+05,1,0.012201,0.012201,0,0.05
0.23977,494.31,5.3307,-0.017966,0,1.4421e+05,1,0.013557,0.013557,0,0.05
0.23984,494.31,5.3323,-0.01798,0,1.4421e+05,1,0.014913,0.014913,0,0.05
0.23991,494.31,5.3339,-0.017994,0,1.442e+05,1,0.016268,0.016268,0,0.05
0.23998,494.3,5.3355,-0.018008,0,1.442e+05,1,0.017624,0.017624,0,0.05
0.24005,494.3,5.337,-0.018021,0,1.442e+05,1,0.01898,0.01898,0,0.05
0.24013,494.29,5.3386,-0.018035,0,1.442e+05,1,0.020335,0.020335,0,0.05
0.24021,494.29,5.3404,-0.018059,0,1.4419e+05,1,0.021691,0.021691,0,0.05
0.2403,494.29,5.3424,-0.018094,0,1.4419e+05,1,0.023047,0.023047,0,0.05
0.24039,494.28,5.3445,-0.01813,0,1.4418e+05,1,0.024403,0.024403,0,0.05
0.24048,494.28,5.3465,-0.018165,0,1.4418e+05,1,0.025758,0.025758,0,0.05
0.24058,494.28,5.3485,-0.0182,0,1.4418e+05,1,0.027114,0.027114,0,0.05
0.24067,494.27,5.3506,-0.018235,0,1.4417e+05,1,0.02847,0.02847,0,0.05
0.24076,494.27,5.3526,-0.018271,0,1.4417e+05,1,0.029825,0.029825,0,0.05
0.24085,494.27,5.3546,-0.018306,0,1.4416e+05,1,0.031181,0.031181,0,0.05
0.24094,494.26,5.3566,-0.018358,0,1.4416e+05,1,0.032537,0.032537,0,0.05
0.24103,494.26,5.3584,-0.018416,0,1.4415e+05,1,0.033893,0.033893,0,0.05
0.24111,494.25,5.3603,-0.018475,0,1.4415e+05,1,0.035248,0.035248,0,0.05
0.2412,494.25,5.3622,-0.018533,0,1.4414e+05,1,0.036604,0.036604,0,0.05
0.24128,494.24,5.3641,-0.018591,0,1.4414e+05,1,0.03796,0.03796,0,0.05
0.24137,494.24,5.366,-0.01865,0,1.4413e+05,1,0.039315,0.039315,0,0.05
0.24146,494.24,5.3679,-0.018708,0,1.4413e+05,1,0.040671,0.040671,0,0.05
0.24154,494.23,5.3698,-0.018767,0,1.4413e+05,1,0.042027,0.042027,0,0.05
0.24162,494.23,5.3714,-0.018843,0,1.4412e+05,1,0.043382,0.043382,0,0.05
0.24169,494.23,5.3731,-0.018921,0,1.4412e+05,1,0.044738,0.044738,0,0.05
0.24177,494.22,5.3747,-0.018999,0,1.4411e+05,1,0.046094,0.046094,0,0.05
0.24184,494.22,5.3764,-0.019076,0,1.4411e+05,1,0.047449,0.047449,0,0.05
0.24192,494.21,5.378,-0.019154,0,1.4411e+05,1,0.048805,0.048805,0,0.05
0.24199,494.21,5.3797,-0.019232,0,1.441e+05,1,0.050161,0.050161,0,0.05
0.24207,494.21,5.3813,-0.019309,0,1.441e+05,1,0.051517,0.051517,0,0.05
0.24214,494.2,5.383,-0.01939,0,1.441e+05,1,0.052872,0.052872,0,0.05
0.24222,494.2,5.3846,-0.019485,0,1.4409e+05,1,0.054228,0.054228,0,0.05
0.24229,494.2,5.3862,-0.01958,0,1.4409e+05,1,0.055584,0.055584,0,0.05
0.24237,494.19,5.3879,-0.019676,0,1.4409e+05,1,0.056939,0.056939,0,0.05
0.24244,494.19,5.3895,-0.019771,0,1.4408e+05,1,0.058295,0.058295,0,0.05
0.24251,494.19,5.3911,-0.019866,0,1.4408e+05,1,0.059651,0.059651,0,0.05
0.24259,494.18,5.3927,-0.019961,0,1.4408e+05,1,0.061007,0.061007,0,0.05
0.24266,494.18,5.3944,-0.020056,0,1.4407e+05,1,0.062362,0.062362,0,0.05
0.24274,494.18,5.396,-0.020159,0,1.4407e+05,1,0.063718,0.063718,0,0.05
0.24282,494.17,5.3977,-0.020272,0,1.4406e+05,1,0.065074,0.065074,0,0.05
0.24289,494.17,5.3995,-0.020384,0,1.4406e+05,1,0.066429,0.066429,0,0.05
0.24297,494.16,5.4012,-0.020497,0,1.4406e+05,1,0.067785,0.067785,0,0.05
0.24305,494.16,5.4029,-0.02061,0,1.4405e+05,1,0.069141,0.069141,0,0.05
0.24313,494.16,5.4046,-0.020723,0,1.4405e+05,1,0.070496,0.070496,0,0.05
0.24321,494.15,5.4063,-0.020836,0,1.4405e+05,1,0.071852,0.071852,0,0.05
0.24329,494.15,5.4081,-0.020949,0,1.4404e+05,1,0.073208,0.073208,0,0.05
0.24337,494.15,5.4099,-0.021074,0,1.4404e+05,1,0.074564,0.074564,0,0.05
0.24345,494.14,5.4117,-0.021206,0,1.4403e+05,1,0.075919,0.075919,0,0.05
0.24353,494.14,5.4135,-0.021337,0,1.4403e+05,1,0.077275,0.077275,0,0.05
0.24362,494.13,5.4154,-0.021469,0,1.4403e+05,1,0.078631,0.078631,0,0.05
0.2437,494.13,5.4172,-0.0216,0,1.4402e+05,1,0.079986,0.079986,0,0.05
0.24378,494.13,5.419,-0.021732,0,1.4402e+05,1,0.081342,0.081342,0,0.05
0.24387,494.12,5.4208,-0.021863,0,1.4401e+05,1,0.082698,0.082698,0,0.05
0.24395,494.12,5.4227,-0.021995,0,1.4401e+05,1,0.084053,0.084053,0,0.05
0.24404,494.11,5.4246,-0.022144,0,1.4401e+05,1,0.085409,0.085409,0,0.05
0.24413,494.11,5.4265,-0.022294,0,1.44e+05,1,0.086765,0.086765,0,0.05
0.24422,494.11,5.4285,-0.022445,0,1.44e+05,1,0.08812,0.08812,0,0.05
0.2443,494.1,5.4304,-0.022596,0,1.4399e+05,1,0.089476,0.089476,0,0.05
0.24439,494.1,5.4324,-0.022747,0,1.4399e+05,1,0.090832,0.090832,0,0.05
0.24448,494.09,5.4343,-0.022898,0,1.4399e+05,1,0.092188,0.092188,0,0.05
0.24457,494.09,5.4362,-0.023049,0,1.4398e+05,1,0.093543,0.093543,0,0.05
0.24466,494.08,5.4382,-0.023202,0,1.4398e+05,1,0.094899,0.094899,0,0.05
0.24475,494.08,5.4402,-0.023373,0,1.4397e+05,1,0.096255,0.096255,0,0.05
0.24484,494.08,5.4423,-0.023544,0,1.4397e+05,1,0.09761,0.09761,0,0.05
0.24494,494.07,5.4443,-0.023715,0,1.4396e+05,1,0.098966,0.098966,0,0.05
0.24503,494.07,5.4464,-0.023885,0,1.4396e+05,1,0.10032,0.10032,0,0.05
0.24512,494.06,5.4484,-0.024056,0,1.4396e+05,1,0.10168,0.10168,0,0.05
0.24522,494.06,5.4505,-0.024227,0,1.4395e+05,1,0.10303,0.10303,0,0.05
0.24531,494.05,5.4525,-0.024398,0,1.4395e+05,1,0.10439,0.10439,0,0.05
0.24541,494.05,5.4546,-0.024576,0,1.4394e+05,1,0.10574,0.10574,0,0.05
0.24551,494.04,5.4568,-0.024767,0,1.4394e+05,1,0.1071,0.1071,0,0.05
0.2456,494.04,5.459,-0.024958,0,1.4393e+05,1,0.10846,0.10846,0,0.05
0.2457,494.03,5.4611,-0.02515,0,1.4393e+05,1,0.10981,0.10981,0,0.05
0.2458,494.03,5.4633,-0.025341,0,1.4392e+05,1,0.11117,0.11117,0,0.05
